"Time / ps","DonorIdx","AccptIdx","PHT / eV"
5050.0,96,94,0.047256711370305925
5050.0,96,57,-0.012295216925094504
5100.0,96,94,0.08522516113358045
5100.0,96,57,-0.13349923163464927
5150.0,96,94,0.07182625117885698
5150.0,96,57,0.061910810214373446
5200.0,96,94,0.12795233967250494
5200.0,96,57,-0.07982498913298897
5250.0,96,94,0.08259663161871267
5250.0,96,57,-0.10695151329904834
5300.0,96,94,0.1639052004563295
5300.0,96,57,0.06031465580426028
5350.0,96,94,-0.05836128243147688
5350.0,96,57,-0.11372416205000949
5400.0,96,94,-0.11614460945677055
5400.0,96,57,-0.07968601629072694
5450.0,96,94,-0.05550400446512443
5450.0,96,57,-0.08878234346488555
5500.0,96,94,-0.043682625918218566
5500.0,96,57,-0.09985801485848138
5550.0,96,94,0.0835155018178065
5550.0,96,57,0.020373127549707194
5600.0,96,94,-0.07427634055126058
5600.0,96,57,0.10363822328597556
5650.0,96,94,0.10975735947354638
5650.0,96,57,-0.1332396988329755
5700.0,96,94,-0.068274959857742
5700.0,96,57,0.13646362215643226
5750.0,96,94,0.047036794411986486
5750.0,96,57,-0.06827413550677143
5800.0,96,94,0.07674190200843063
5800.0,96,57,-0.06157677344695664
5850.0,96,94,0.08356492677157822
5850.0,96,57,0.08250745108261878
5900.0,96,94,0.12366631896214642
5900.0,96,57,0.07437125591993536
5950.0,96,94,0.05572099206507843
5950.0,96,57,-0.1799302284819424
6000.0,96,94,-0.06810477691191281
6000.0,96,57,-0.06594463128020422
6050.0,96,94,0.10552089722789076
6050.0,96,57,-0.08390205171588615
6100.0,96,94,0.05712467484975139
6100.0,96,57,0.08988858139082553
6150.0,96,94,-0.08095253976011389
6150.0,96,57,0.13514839718206412
6200.0,96,94,-0.025991280778838315
6200.0,96,57,-0.1504472824614166
6250.0,96,94,0.0890862260852343
6250.0,96,57,0.10573295206462836
6300.0,96,94,-0.12022593484379498
6300.0,96,57,0.10875975968302831
6350.0,96,94,0.05436145558020423
6350.0,96,57,-0.08602223731385608
6400.0,96,94,0.08522757914624414
6400.0,96,57,0.08168085403290197
6450.0,96,94,0.0573866238594936
6450.0,96,57,-0.02202095942904822
6500.0,96,94,-0.10569140074474677
6500.0,96,57,0.09101288583482553
6550.0,96,94,0.0741382006761984
6550.0,96,57,0.03595621725271595
6600.0,96,94,-0.080076514754379
6600.0,96,57,0.12242906241278649
6650.0,96,94,-0.09286916494395052
6650.0,96,57,-0.061084271644238644
6700.0,96,94,-0.05417259026294436
6700.0,96,57,0.07788150709366427
6750.0,96,94,0.05310970845843785
6750.0,96,57,-0.09926301428911909
6800.0,96,94,-0.05389042936006678
6800.0,96,57,0.08910775171372325
6850.0,96,94,0.09443773700015003
6850.0,96,57,-0.09816234540887041
6900.0,96,94,-0.06654656501361417
6900.0,96,57,0.08221556813810339
6950.0,96,94,-0.11142253012937253
6950.0,96,57,-0.01841988950390297
7000.0,96,94,0.08254531278249866
7000.0,96,57,-0.09233958664603396
7050.0,96,94,0.07968895718088721
7050.0,96,57,-0.07628174123585663
7100.0,96,94,-0.06236354941807196
7100.0,96,57,0.09351389235444957
7150.0,96,94,0.07347333824495036
7150.0,96,57,0.015681359976552494
7200.0,96,94,-0.08122619223038718
7200.0,96,57,-0.04830402148797095
7250.0,96,94,-0.05786791548838564
7250.0,96,57,-0.00324151735169611
7300.0,96,94,0.06922230409794729
7300.0,96,57,-0.11727072185226962
7350.0,96,94,-0.12351076965597015
7350.0,96,57,0.0343253421029212
7400.0,96,94,0.06008393105979481
7400.0,96,57,-0.058045093855907635
7450.0,96,94,0.1018997448178074
7450.0,96,57,0.03545615037960472
7500.0,96,94,-0.07042551531710566
7500.0,96,57,-0.0119775150715392
7550.0,96,94,0.08466901902509794
7550.0,96,57,0.04330426243900812
7600.0,96,94,-0.07984841040472587
7600.0,96,57,-0.17484859598265548
7650.0,96,94,-0.07625602648657358
7650.0,96,57,-0.04771672805935197
7700.0,96,94,-0.12476554358305524
7700.0,96,57,0.018070175507480923
7750.0,96,94,-0.14853037636812033
7750.0,96,57,-0.13633290342589266
7800.0,96,94,-0.10763124201511472
7800.0,96,57,-0.077357215562229
7850.0,96,94,0.061080754670775006
7850.0,96,57,0.007398462396502801
7900.0,96,94,0.061624236600095895
7900.0,96,57,0.10843728640397779
7950.0,96,94,0.0894512374722361
7950.0,96,57,0.12427493110350243
8000.0,96,94,-0.10132261779031738
8000.0,96,57,-0.010811456447520467
8050.0,96,94,-0.09769123632231463
8050.0,96,57,-0.07981718767298028
8100.0,96,94,0.05592418542490158
8100.0,96,57,0.10790667808722586
8150.0,96,94,-0.062096171568051306
8150.0,96,57,0.06048752895631701
8200.0,96,94,0.11148887223428408
8200.0,96,57,0.03950880737246399
8250.0,96,94,-0.10077149362362421
8250.0,96,57,-0.0923820249461572
8300.0,96,94,-0.10389199898161404
8300.0,96,57,-0.09637424704273811
8350.0,96,94,0.06620038560178347
8350.0,96,57,0.11496839995535488
8400.0,96,94,0.1477142601789945
8400.0,96,57,0.04001837645568597
8450.0,96,94,0.05932300397870612
8450.0,96,57,0.07885958419117083
8500.0,96,94,0.0731724808717684
8500.0,96,57,-0.12446304926251184
8550.0,96,94,0.06301784746595657
8550.0,96,57,0.13333697555683235
8600.0,96,94,-0.09315921989514647
8600.0,96,57,-0.05178313915293925
8650.0,96,94,-0.08335012466575746
8650.0,96,57,0.07950056935300533
8700.0,96,94,0.08733311203707066
8700.0,96,57,0.044787593395131796
8750.0,96,94,0.09615559204386567
