"Time / ps","DonorIdx","AccptIdx","PHT / eV"
10050.0,39,106,-0.2442574503270104
10050.0,39,40,-0.036485132135386615
10100.0,39,106,0.12476824092523273
10100.0,39,40,-0.03636443457116883
10150.0,39,106,-0.19091155948986527
10150.0,39,40,-0.019569284021449775
10200.0,39,106,0.13445655149193594
10200.0,39,40,0.032673193584271884
10250.0,39,106,-0.10818577920885646
10250.0,39,40,-0.02721721930649152
10300.0,39,106,0.19514755221016117
10300.0,39,40,-0.04746856053062902
10350.0,39,106,0.2399987760814593
10350.0,39,40,-0.001391505733455067
10400.0,39,106,0.1656374431773119
10400.0,39,40,0.01523220776983274
10450.0,39,106,-0.20714262354952323
10450.0,39,40,-0.011721598402884118
10500.0,39,106,-0.13780809721456502
10500.0,39,40,0.010024459406629162
10550.0,39,106,-0.13279979743411796
10550.0,39,40,-0.01995497825656658
10600.0,39,106,-0.15291665266463794
10600.0,39,40,-0.0008784962257531575
10650.0,39,106,-0.1928789520218927
10650.0,39,40,0.033103527949619876
10700.0,39,106,0.10297883105893245
10700.0,39,40,0.009849601877197963
10750.0,39,106,-0.14485711031222667
10750.0,39,40,-0.019499389797735682
10800.0,39,106,0.18241683808438766
10800.0,39,40,0.01819364036580016
10850.0,39,106,-0.18925828801702602
10850.0,39,40,0.0203349266590188
10900.0,39,106,-0.18212302229405583
10900.0,39,40,-0.03257423253021611
10950.0,39,106,0.1780606733049987
10950.0,39,40,-0.023429400249266787
11000.0,39,106,0.12831341421977732
11000.0,39,40,0.022226732551205695
11050.0,39,106,0.1942335579194082
11050.0,39,40,-0.007090728909310817
11100.0,39,106,0.14664781381887737
11100.0,39,40,-0.006141050010582811
11150.0,39,106,0.10250262281860117
11150.0,39,40,-0.03697754894886761
11200.0,39,106,-0.17239267947390893
11200.0,39,40,-0.03012266020062506
11250.0,39,106,-0.16254611215210965
11250.0,39,40,0.00930000794390024
11300.0,39,106,-0.12499302465282076
11300.0,39,40,0.025632778187409982
11350.0,39,106,-0.143392306795297
11350.0,39,40,0.009535385017657562
11400.0,39,106,0.25100297714032793
11400.0,39,40,-0.0006167850205464921
11450.0,39,106,0.14997782831332843
11450.0,39,40,0.020509109452059616
11500.0,39,106,0.20486388527769717
11500.0,39,40,0.07306354279033005
11550.0,39,106,-0.16429812621863538
11550.0,39,40,-0.0096987774973149
11600.0,39,106,0.21153161576047963
11600.0,39,40,-0.019838871384484216
11650.0,39,106,0.14535829466037525
11650.0,39,40,-0.022661025831152128
11700.0,39,106,0.10971749245734327
11700.0,39,40,0.02295104774647449
11750.0,39,106,0.19869782499637972
11750.0,39,40,0.03239408629686674
11800.0,39,106,0.18999411615421277
11800.0,39,40,0.026942735022119347
11850.0,39,106,0.23476597687246215
11850.0,39,40,0.01725105984610175
11900.0,39,106,-0.1966091996961441
11900.0,39,40,-0.01717132324194433
11950.0,39,106,-0.16874229910732513
11950.0,39,40,-0.02485997785656671
12000.0,39,106,0.18484851380877096
12000.0,39,40,0.024754131489699748
12050.0,39,106,0.11200193926872146
12050.0,39,40,0.03838770438344353
12100.0,39,106,-0.1874186459493404
12100.0,39,40,-0.03599019780940129
12150.0,39,106,0.18383389694920899
12150.0,39,40,-0.03255015091473169
12200.0,39,106,0.159080945900833
12200.0,39,40,0.014035342488393285
12250.0,39,106,0.2083153295693935
12250.0,39,40,-0.009985485389872952
12300.0,39,106,0.15069361199735834
12300.0,39,40,-0.0011042208947032468
12350.0,39,106,0.10837431285777874
12350.0,39,40,-0.033508632667268536
12400.0,39,106,0.15055160797626846
12400.0,39,40,-0.01576017041626588
12450.0,39,106,0.22685500263783273
12450.0,39,40,0.01328198612703566
12500.0,39,106,-0.164781488156164
12500.0,39,40,-0.044321193646760224
12550.0,39,106,0.1656767215144978
12550.0,39,40,0.003885252713116709
12600.0,39,106,0.1076193027049131
12600.0,39,40,-0.021423486456817957
12650.0,39,106,-0.19884652795245678
12650.0,39,40,0.021144431311563957
12700.0,39,106,-0.15030727954357853
12700.0,39,40,-0.02276377587184766
12750.0,39,106,-0.13963890047763522
12750.0,39,40,0.0018128541673284627
12800.0,39,106,0.1650448034059516
12800.0,39,40,-0.008396309916386905
12850.0,39,106,0.15398659703409376
12850.0,39,40,-0.02079322570825219
12900.0,39,106,-0.1851364368842887
12900.0,39,40,0.013445425147454499
12950.0,39,106,-0.07484616399990458
12950.0,39,40,-0.021334054997034547
13000.0,39,106,-0.1256422201008162
13000.0,39,40,-0.012874347725569205
13050.0,39,106,-0.14052834353997323
13050.0,39,40,-0.024181736183227647
13100.0,39,106,-0.18368768392064327
13100.0,39,40,0.022048434367101816
13150.0,39,106,-0.171186108712889
13150.0,39,40,0.005277608691880516
13200.0,39,106,0.12292982673714183
13200.0,39,40,-0.0031966923279879845
13250.0,39,106,0.10446301830597587
13250.0,39,40,-0.015087370497088654
13300.0,39,106,0.12450206994122165
13300.0,39,40,0.01795684244313973
13350.0,39,106,0.16570751677491313
13350.0,39,40,-0.012233208425052178
13400.0,39,106,0.14969152126864582
13400.0,39,40,-0.04117393952087834
13450.0,39,106,-0.15149288547782971
13450.0,39,40,-0.05120366525099803
13500.0,39,106,0.11687773070895342
13500.0,39,40,-0.023279669251255103
13550.0,39,106,-0.14323563604465125
13550.0,39,40,-0.01943917927704687
13600.0,39,106,-0.10137865453842697
13600.0,39,40,-0.02190855474812808
13650.0,39,106,0.17153020918906892
13650.0,39,40,-0.03286983857462646
13700.0,39,106,0.12857614341990428
13700.0,39,40,-0.035483492121214724
13750.0,39,106,-0.19110442550283868
13750.0,39,40,0.028179549110590143
13800.0,39,106,-0.19962452603079864
13800.0,39,40,-0.03209276521867399
