"Time / ps","DonorIdx","AccptIdx","PHT / eV"
0.0,39,106,-0.1465638673753233
0.0,39,40,0.030464773924614878
50.0,39,106,-0.21115243595659414
50.0,39,40,-0.008570617490006755
100.0,39,106,0.17736933174377362
100.0,39,40,-0.027726397069909
150.0,39,106,-0.06780404749337479
150.0,39,40,-0.027619705321579275
200.0,39,106,-0.08428166179806539
200.0,39,40,-0.01980794747943021
250.0,39,106,0.1529195807777906
250.0,39,40,0.022761965048406878
300.0,39,106,-0.16760929578401018
300.0,39,40,-0.016033459655558167
350.0,39,106,0.16471905624655858
350.0,39,40,-0.028564625945956844
400.0,39,106,0.17599377614736655
400.0,39,40,-0.016536178521884676
450.0,39,106,-0.2442906560036285
450.0,39,40,0.0007428762511434466
500.0,39,106,0.19091149001406585
500.0,39,40,0.01935175045811532
550.0,39,106,0.11965252442555163
550.0,39,40,-0.034105812113213105
600.0,39,106,0.12580088507742207
600.0,39,40,-0.0299860061964426
650.0,39,106,0.26020482957574886
650.0,39,40,-0.03948816826043438
700.0,39,106,0.17341741468885905
700.0,39,40,0.0373783703047276
750.0,39,106,-0.14503829710517535
750.0,39,40,0.014857762924558164
800.0,39,106,-0.20465072261113174
800.0,39,40,-0.005780559418114003
850.0,39,106,0.10754238205430708
850.0,39,40,-0.01705608071516059
900.0,39,106,0.2036065604953387
900.0,39,40,0.0146672530965141
950.0,39,106,-0.18417098207692567
950.0,39,40,0.0568406968862365
1000.0,39,106,-0.19531577987294266
1000.0,39,40,-0.012168040663327861
1050.0,39,106,-0.12749876759347653
1050.0,39,40,-0.04695504949242312
1100.0,39,106,-0.1982551762163543
1100.0,39,40,-0.01328957363553046
1150.0,39,106,-0.1285068605034838
1150.0,39,40,-0.022215046368686427
1200.0,39,106,0.15898177883587908
1200.0,39,40,0.05451057529790705
1250.0,39,106,0.14644388261255398
1250.0,39,40,0.04126344938897928
1300.0,39,106,0.13457569986868095
1300.0,39,40,0.013690530733846368
1350.0,39,106,-0.15761412036963335
1350.0,39,40,-0.013317789150777753
1400.0,39,106,-0.27428637137790524
1400.0,39,40,0.010022973501611597
1450.0,39,106,0.12557157957074908
1450.0,39,40,0.002776677410916818
1500.0,39,106,-0.24084016765935254
1500.0,39,40,-0.018251197110072576
1550.0,39,106,0.18211318770231405
1550.0,39,40,-0.008072202261825328
1600.0,39,106,-0.15684001805037956
1600.0,39,40,0.014881997605460636
1650.0,39,106,-0.215764669807745
1650.0,39,40,0.02475901768917083
1700.0,39,106,-0.21057658278039237
1700.0,39,40,-0.0463962230078201
1750.0,39,106,-0.167793150416909
1750.0,39,40,-0.04250297889693346
1800.0,39,106,-0.13518627244164413
1800.0,39,40,-0.019068133618385663
1850.0,39,106,-0.18570866713139708
1850.0,39,40,-0.03536226684921349
1900.0,39,106,0.17416088738066976
1900.0,39,40,0.01900051764731139
1950.0,39,106,0.11733314401705493
1950.0,39,40,0.0015818878150986597
2000.0,39,106,-0.16686758079096298
2000.0,39,40,0.033347742692914746
2050.0,39,106,0.17455058747521005
2050.0,39,40,-0.014300301838379676
2100.0,39,106,-0.14493722855950605
2100.0,39,40,-0.0087251249407812
2150.0,39,106,0.13865670525804322
2150.0,39,40,-0.005009713278152199
2200.0,39,106,-0.1936388505564817
2200.0,39,40,-0.015216446169983107
2250.0,39,106,0.11655516656724531
2250.0,39,40,0.039769438054388456
2300.0,39,106,0.1723869887305599
2300.0,39,40,0.024646883579997284
2350.0,39,106,0.18556846164045931
2350.0,39,40,-0.03620866282472187
2400.0,39,106,0.16125820827143858
2400.0,39,40,-0.031704914879767725
2450.0,39,106,-0.1843444387007087
2450.0,39,40,-0.01000758124615303
2500.0,39,106,-0.23458039591950233
2500.0,39,40,0.014808352021374253
2550.0,39,106,-0.14775234243940386
2550.0,39,40,0.01023649648167599
