"Time / ps","DonorIdx","AccptIdx","PHT / eV","PHT_EHT / eV"
0.0,39,106,-0.1465638673753233,0.015020064913205162
0.0,39,40,0.0304647739246148,0.0181733064665417
50.0,39,106,-0.2111524359565941,0.00641211156598575
50.0,39,40,-0.0085706174900067,-0.0061607717814093155
100.0,39,106,0.1773693317437736,0.010515877501454387
100.0,39,40,-0.027726397069909,-0.014510194686089247
150.0,39,106,-0.0678040474933747,0.009778135567191466
150.0,39,40,-0.0276197053215792,-0.010598014719999875
200.0,39,106,-0.0842816617980653,0.00923369606873926
200.0,39,40,-0.0198079474794302,0.013940302467186914
250.0,39,106,0.1529195807777906,-0.009465276135032218
250.0,39,40,0.0227619650484068,-0.016585790761464318
300.0,39,106,-0.1676092957840101,-0.0065029718145313605
300.0,39,40,-0.0160334596555581,-0.006480999408966116
350.0,39,106,0.1647190562465585,0.011446854869608173
350.0,39,40,-0.0285646259459568,0.008355865189155393
400.0,39,106,0.1759937761473665,-0.012439278936862308
400.0,39,40,-0.0165361785218846,0.00209926480053244
450.0,39,106,-0.2442906560036285,0.009990215993084493
450.0,39,40,0.0007428762511434,-0.008591387191798298
500.0,39,106,0.1909114900140658,-0.011192137945205726
500.0,39,40,0.0193517504581153,0.009080413478749456
550.0,39,106,0.1196525244255516,-0.005564315670913544
550.0,39,40,-0.0341058121132131,0.014040941883823118
600.0,39,106,0.125800885077422,-0.017979820085593547
600.0,39,40,-0.0299860061964426,-0.011420282842498436
650.0,39,106,0.2602048295757488,-0.010785523213236824
650.0,39,40,-0.0394881682604343,0.010712126271672236
700.0,39,106,0.173417414688859,0.01129141294074147
700.0,39,40,0.0373783703047276,-0.019900109604240664
750.0,39,106,-0.1450382971051753,0.00782531998431825
750.0,39,40,0.0148577629245581,0.0073022663252134
800.0,39,106,-0.2046507226111317,0.0064173821913696485
800.0,39,40,-0.005780559418114,0.006056571730206051
850.0,39,106,0.107542382054307,0.014606961108057266
850.0,39,40,-0.0170560807151605,-0.017574309154647538
900.0,39,106,0.2036065604953387,0.005435627952502295
900.0,39,40,0.0146672530965141,-0.010476209268346604
950.0,39,106,-0.1841709820769256,-0.006072639786596292
950.0,39,40,0.0568406968862365,0.012930066232006047
1000.0,39,106,-0.1953157798729426,0.008293219739816025
1000.0,39,40,-0.0121680406633278,0.004260123516594152
1050.0,39,106,-0.1274987675934765,-0.012780243153802407
1050.0,39,40,-0.0469550494924231,0.020724378990635173
1100.0,39,106,-0.1982551762163543,0.010820927337105147
1100.0,39,40,-0.0132895736355304,0.0044646538617526405
1150.0,39,106,-0.1285068605034838,-0.012028641055662571
1150.0,39,40,-0.0222150463686864,-0.01481645353418932
1200.0,39,106,0.158981778835879,0.008970158039998436
1200.0,39,40,0.054510575297907,-0.020505920314981173
1250.0,39,106,0.1464438826125539,-0.002222464460826997
1250.0,39,40,0.0412634493889792,0.01554500149474648
1300.0,39,106,0.1345756998686809,-0.01016908253235726
1300.0,39,40,0.0136905307338463,0.0005467020874768588
1350.0,39,106,-0.1576141203696333,0.012434011433029002
1350.0,39,40,-0.0133177891507777,-0.007197746130045634
1400.0,39,106,-0.2742863713779052,-0.010038794585654638
1400.0,39,40,0.0100229735016115,-0.00019531776652363268
1450.0,39,106,0.125571579570749,0.012830159942312843
1450.0,39,40,0.0027766774109168,-0.0025297618324354853
1500.0,39,106,-0.2408401676593525,0.009947602216184912
1500.0,39,40,-0.0182511971100725,-0.0027560482619314
1550.0,39,106,0.182113187702314,-0.004134942030131649
1550.0,39,40,-0.0080722022618253,0.020789313570999488
1600.0,39,106,-0.1568400180503795,0.016585607699973203
1600.0,39,40,0.0148819976054606,0.005443137611196856
1650.0,39,106,-0.215764669807745,0.012794706593635387
1650.0,39,40,0.0247590176891708,0.012434526720179176
1700.0,39,106,-0.2105765827803923,-0.00273977548122703
1700.0,39,40,-0.0463962230078201,0.016357274460428818
1750.0,39,106,-0.167793150416909,-0.009358499994372858
1750.0,39,40,-0.0425029788969334,-0.015478522041175445
1800.0,39,106,-0.1351862724416441,0.005539574802810989
1800.0,39,40,-0.0190681336183856,-0.01044586647219318
1850.0,39,106,-0.185708667131397,-0.01090289788142535
1850.0,39,40,-0.0353622668492134,0.014513551159761303
1900.0,39,106,0.1741608873806697,-0.006459044921676951
1900.0,39,40,0.0190005176473113,-0.009292011647040903
1950.0,39,106,0.1173331440170549,0.015515827503007387
1950.0,39,40,0.0015818878150986,-0.0004866906773777151
2000.0,39,106,-0.1668675807909629,0.00608129059888386
2000.0,39,40,0.0333477426929147,0.012194758075027463
2050.0,39,106,0.17455058747521,0.010847118330865671
2050.0,39,40,-0.0143003018383796,0.0025979901399200253
2100.0,39,106,-0.144937228559506,0.009740159921545932
2100.0,39,40,-0.0087251249407812,-0.00907920176837644
2150.0,39,106,0.1386567052580432,0.010470497278056908
2150.0,39,40,-0.0050097132781521,0.006434671805897773
2200.0,39,106,-0.1936388505564817,0.008183757535086914
2200.0,39,40,-0.0152164461699831,-0.008532390312146478
2250.0,39,106,0.1165551665672453,0.01173880245953422
2250.0,39,40,0.0397694380543884,-0.011518635627222367
2300.0,39,106,0.1723869887305599,-0.011224031338881921
2300.0,39,40,0.0246468835799972,0.010373565341493085
2350.0,39,106,0.1855684616404593,-0.01087501803079976
2350.0,39,40,-0.0362086628247218,-0.006578966972063329
2400.0,39,106,0.1612582082714385,-0.008642884020692588
2400.0,39,40,-0.0317049148797677,-0.00810266609027043
2450.0,39,106,-0.1843444387007087,-0.009374029360597644
2450.0,39,40,-0.010007581246153,-0.010017175287197899
2500.0,39,106,-0.2345803959195023,-0.007048661512723688
2500.0,39,40,0.0148083520213742,-0.0018042170041332364
2550.0,39,106,-0.1477523424394038,0.009926630489004364
2550.0,39,40,0.0102364964816759,-0.016638013400865494
2600.0,39,106,0.2983035620791763,-0.008630007686293958
2600.0,39,40,0.0150635393670903,0.003990434926594576
2650.0,39,106,0.2050280373495574,-0.0048740175754567305
2650.0,39,40,0.0285321487221328,0.010480731321367596
2700.0,39,106,0.1638508108896249,-0.01750100440499293
2700.0,39,40,-0.0182297305469789,0.0021285960813727262
2750.0,39,106,-0.1216654682223802,0.005719769340356453
2750.0,39,40,0.0258840297915365,-0.015189139463985936
2800.0,39,106,-0.1520416447226803,0.013977653163884305
2800.0,39,40,-0.0227696779142465,0.006783895570021392
2850.0,39,106,-0.1652472941888633,-0.007773228570836942
2850.0,39,40,0.0151040771739391,0.011197371855820268
2900.0,39,106,0.2070299857505211,-0.010065946453505845
2900.0,39,40,0.0126531698066025,-0.009068082270646791
2950.0,39,106,0.1409373867636549,0.010423106907823252
2950.0,39,40,-0.041181741088526,0.016700861997442158
3000.0,39,106,-0.1554371327618912,0.0019450697781303293
3000.0,39,40,-0.0089399006642403,-0.009601984893057487
3050.0,39,106,-0.1715594627952399,0.010452019448890246
3050.0,39,40,-0.0374943330853429,-0.01587755539825468
3100.0,39,106,0.1968716068869355,0.0001505945188785994
3100.0,39,40,-0.0148980581801107,-0.011129175780602811
3150.0,39,106,0.1969634402031381,-0.00679797665034072
3150.0,39,40,0.0046367114432116,-0.004118549148509815
3200.0,39,106,0.1745222601991829,0.011552700342246657
3200.0,39,40,-0.0031018116609589,0.0038495907688352537
3250.0,39,106,0.0979781897174401,-0.004419930519319051
